driftx,drifty
-73.9648303049132,-57.5152293219418
-74.0726179287633,-57.5775846659143
-74.1823285742712,-57.6410524815477
-74.2901582979453,-57.7034321803479
-74.4002235863872,-57.7671051575884
-74.5090892435487,-57.8300841458676
-74.6163391863974,-57.8921284403652
-74.7257516070096,-57.9554237323332
-74.8655569255325,-58.0454417179324
-75.0389010071697,-58.1642322648325
-75.2116232322734,-58.2825966611713
-75.3849520098122,-58.4013767203628
-75.5571955567256,-58.519413084481
-75.7319321412758,-58.6391578963381
-75.9063568623089,-58.758688991999
-76.0769997705704,-58.8756284583227
-76.2492948412819,-58.99370013106
-76.4231427678491,-59.1128359566349
-76.5959887861046,-59.2312851868836
-76.7697969220158,-59.3503937444161
-76.9435125531542,-59.4694389095762
-77.1150495608561,-59.5869910911451
-77.2872461752009,-59.7049952929569
-77.4609876532611,-59.8240581706916
-77.6354227470719,-59.9435963746883
-77.8064506384322,-60.0607996651496
-77.9818339061645,-60.1809876409621
-78.1545025669237,-60.2993153303206
-78.3271043997862,-60.4175972233513
-78.5008433271634,-60.5366583531346
-78.6732948397701,-60.6548372335604
-78.8457920946267,-60.773047460582
-79.0195504071951,-60.8921218747962
-79.1911035692231,-61.0096851267243
-79.3649023526297,-61.1287872751015
-79.5388722018478,-61.2480066527553
-79.7109225770297,-61.3659106386843
-79.8846053893792,-61.4849333135359
-80.0556392323333,-61.6021406825505
-80.228847957722,-61.7208384714942
-80.4040132270743,-61.8408770557236
-80.5764834446902,-61.9590687544599
-80.7477347758877,-62.0764251654674
-80.9210591322425,-62.1952021948764
-81.0938339014176,-62.3136025990149
-81.2670120186094,-62.4322794125412
-81.4399649955086,-62.5508019402204
-81.6134344007075,-62.6696783698014
-81.7859877705917,-62.7879270517547
-81.960322537535,-62.9073965029947
-82.1322747964413,-63.0252332510583
-82.3047836143944,-63.1434514021265
-82.479437216722,-63.2631393472967
-82.6510740411548,-63.3807599320321
-82.8264821355357,-63.5009649212386
-82.9974375874967,-63.618118569879
-83.1702691518815,-63.7365578950695
-83.3429087348536,-63.8548656577815
-83.4909408806612,-63.9770325938154
-83.6142959567647,-64.1037580123801
-83.7362408686813,-64.229034737851
-83.857985203629,-64.3541054061319
-83.9797183687215,-64.4791645993718
-84.1022550427494,-64.6050492552466
-84.2253592174829,-64.7315169172426
-84.3461965121495,-64.8556557628301
-84.4687880746054,-64.9815968068102
-84.5908050501037,-65.1069475648044
-84.7133148203945,-65.2328045818705
-84.8353166625406,-65.3581397930349
-84.9577801920331,-65.4839493058985
-85.0796186900608,-65.60911671001
-85.2031045615651,-65.7359764976045
-85.3240417843982,-65.8602180016243
-85.4480501168695,-65.9876145250128
-85.5688104236097,-66.1116742791879
-85.6908998230075,-66.237099439868
-85.8128700772837,-66.3624022001096
-85.9364603208753,-66.4893692114754
-86.057627426534,-66.6138468792446
-86.1806645821365,-66.7402456909939
-86.3025138897014,-66.8654241999838
-86.4253901033049,-66.991657672431
-86.5472205542326,-67.1168168095774
-86.6691721920835,-67.2421004447504
-86.7911366812731,-67.3673972823902
-86.9125288655185,-67.4921061784072
-87.0348500694373,-67.6177694770373
-87.1573895059025,-67.7436569708256
-87.2791489742023,-67.8687431859364
-87.4015925661039,-67.9945322164687
-87.5238805006692,-68.1201613367506
